"","X.run.number.","num.nurseries","patch.richness.constraints","patch.richness.visualization","mimicry","global_moran","moran_p","global_mantel","mantel_p"
"1",1,4,"off",FALSE,FALSE,-0.000146306818235184,0.812127080818575,0.0641649840531937,0.001
"8",2,4,"off",FALSE,FALSE,2.62862899840368e-05,0.516719706863539,0.0646898758410654,0.001
"5",3,4,"off",FALSE,FALSE,-0.000350705584025034,0.198067297281038,0.0599505826030816,0.001
"2",4,4,"off",FALSE,FALSE,-2.98567717955645e-05,0.718725464894193,0.0673278366700804,0.001
"4",5,4,"off",FALSE,FALSE,-0.000233284562238282,0.493839915485727,0.0771183334353104,0.001
"3",6,4,"off",FALSE,FALSE,-0.000423285735191131,0.0969658707514546,0.0696453857638519,0.001
"7",7,4,"off",FALSE,FALSE,-9.87967549490304e-05,0.995029994074424,0.0717450671065769,0.001
"10",8,4,"off",FALSE,FALSE,-5.78635230637609e-05,0.8286995916166,0.0704602474013793,0.001
"9",9,4,"off",FALSE,FALSE,-0.000319241913941583,0.260357632684437,0.0675445819036864,0.001
"6",10,4,"off",FALSE,FALSE,-0.000139178093934109,0.840628265508177,0.0660999747861352,0.001
"11",11,4,"random",FALSE,FALSE,-6.30188129238058e-05,0.849396884629414,0.0898965555142444,0.001
"12",12,4,"random",FALSE,FALSE,-6.69718952448903e-05,0.865329643623578,0.0951699772530332,0.001
"13",13,4,"random",FALSE,FALSE,-0.000300339381852688,0.303787197972364,0.0989198729158453,0.001
"16",14,4,"random",FALSE,FALSE,4.85568079984796e-05,0.445684390088263,0.0947271886814637,0.001
"15",15,4,"random",FALSE,FALSE,-0.000421450198651255,0.0989345300348841,0.0922370934414485,0.001
"14",16,4,"random",FALSE,FALSE,-0.000215020106345925,0.554938125139109,0.0948213445508691,0.001
"17",17,4,"random",FALSE,FALSE,-0.000171014596771372,0.715494855257519,0.0928077852457037,0.001
"18",18,4,"random",FALSE,FALSE,-0.000472815678526463,0.0556552530694423,0.085745298124345,0.001
"19",19,4,"random",FALSE,FALSE,-0.000196717784590689,0.61959884043746,0.093401556685352,0.001
"20",20,4,"random",FALSE,FALSE,-0.00023108731344078,0.501035670031362,0.0938987586365847,0.001
"21",21,4,"by-block",FALSE,FALSE,0.0143708005412349,0,0.0700859226452789,0.001
"22",22,4,"by-block",FALSE,FALSE,0.0126565278229636,0,0.0688060993589589,0.001
"23",23,4,"by-block",FALSE,FALSE,0.0141676786445248,0,0.074263972331456,0.001
"28",24,4,"by-block",FALSE,FALSE,0.014809478692855,0,0.075191851512148,0.001
"25",25,4,"by-block",FALSE,FALSE,0.0132038790717686,0,0.0738976094200868,0.001
"26",26,4,"by-block",FALSE,FALSE,0.0143258537336278,0,0.0727400577679148,0.001
"27",27,4,"by-block",FALSE,FALSE,0.0126920879736513,0,0.073588582983468,0.001
"30",28,4,"by-block",FALSE,FALSE,0.0158992023902078,0,0.0706408664516871,0.001
"29",29,4,"by-block",FALSE,FALSE,0.0128888899795459,0,0.0709845519966541,0.001
"24",30,4,"by-block",FALSE,FALSE,0.0132875841193582,0,0.0683078103114214,0.001
